protocol,dataset,strict,variant,seed,mse,mae,n,apn_seed_mse,relative_mse_gain_vs_apn
strict_ushcn,USHCN,true,V08,2027,0.9913279664975397,0.3615400734314513,368,0.1927870139275735,-4.142088910978015
strict_ushcn,USHCN,true,V08,2028,0.32153211299342493,0.3073507594058553,368,0.21222504754697055,-0.5150526137696451
strict_ushcn,USHCN,true,V10,2024,0.23253077163538202,0.28982077281564317,368,0.16356605542481975,-0.42163220254621037
strict_ushcn,USHCN,true,V10,2025,0.273214311046191,0.31147063247424184,368,0.17153169211403857,-0.5927920239051292
strict_ushcn,USHCN,true,V10,2026,0.2266178370409633,0.2835880227265613,368,0.1668238433273194,-0.3584259451229891
strict_ushcn,USHCN,true,V10,2027,1.088722104861673,0.36576238127789745,368,0.1927870139275735,-4.647279257464332
strict_ushcn,USHCN,true,V10,2028,0.32294238008611137,0.3063425631711573,368,0.21222504754697055,-0.5216977629119691
strict_ushcn,USHCN,true,V11,2024,0.22592171240384187,0.29089651808380557,368,0.16356605542481975,-0.3812261463240018
strict_ushcn,USHCN,true,V11,2025,0.24445478217447134,0.2966666967942096,368,0.17153169211403857,-0.4251289610782343
strict_ushcn,USHCN,true,V11,2026,0.22480017588170043,0.2848346087089537,368,0.1668238433273194,-0.34753025345800026
strict_ushcn,USHCN,true,V11,2027,1.1231705737923654,0.388469579436629,368,0.1927870139275735,-4.825965924314382
strict_ushcn,USHCN,true,V11,2028,0.2290158129460608,0.28603715072266744,368,0.21222504754697055,-0.07911773654037722
strict_ushcn,USHCN,true,V12,2024,0.17001151969038303,0.3017109512248957,368,0.16356605542481975,-0.0394058794706694
strict_ushcn,USHCN,true,V12,2025,0.18037917981363014,0.2965635530435184,368,0.17153169211403857,-0.05157931802893622
strict_ushcn,USHCN,true,V12,2026,0.17188495339309245,0.30219759161912446,368,0.1668238433273194,-0.03033804979449388
strict_ushcn,USHCN,true,V12,2027,0.21151685751474067,0.32272241350279807,368,0.1927870139275735,-0.0971530353917076
strict_ushcn,USHCN,true,V12,2028,0.21367462874779916,0.2895855569273092,368,0.21222504754697055,-0.0068303964003484634
